article_id,pair,method,ref_count,hyp_count,tp,fp,fn,precision,recall,f1
artigo1,human_vs_gemini,exact,115,153,8,134,107,0.0563,0.0696,0.0623
artigo1,human_vs_gemini,fuzzy,115,153,87,57,28,0.6042,0.7565,0.6718
artigo1,human_vs_gemini,semantic,115,153,21,132,94,0.1373,0.1826,0.1567
artigo2,human_vs_gemini,exact,101,155,3,151,96,0.0195,0.0303,0.0237
artigo2,human_vs_gemini,fuzzy,101,155,97,57,4,0.6299,0.9604,0.7608
artigo2,human_vs_gemini,semantic,101,155,78,77,23,0.5032,0.7723,0.6094
artigo3,human_vs_gemini,exact,117,109,106,3,11,0.9725,0.906,0.9381
artigo3,human_vs_gemini,fuzzy,117,109,109,0,8,1.0,0.9316,0.9646
artigo3,human_vs_gemini,semantic,117,109,108,1,9,0.9908,0.9231,0.9558
artigo4,human_vs_gemini,exact,67,108,58,50,8,0.537,0.8788,0.6667
artigo4,human_vs_gemini,fuzzy,67,108,67,41,0,0.6204,1.0,0.7657
artigo4,human_vs_gemini,semantic,67,108,67,41,0,0.6204,1.0,0.7657
artigo5,human_vs_gemini,exact,59,78,55,23,3,0.7051,0.9483,0.8088
artigo5,human_vs_gemini,fuzzy,59,78,58,20,1,0.7436,0.9831,0.8467
artigo5,human_vs_gemini,semantic,59,78,58,20,1,0.7436,0.9831,0.8467
artigo6,human_vs_gemini,exact,166,71,14,55,152,0.2029,0.0843,0.1191
artigo6,human_vs_gemini,fuzzy,166,71,54,15,112,0.7826,0.3253,0.4596
artigo6,human_vs_gemini,semantic,166,71,32,39,134,0.4507,0.1928,0.27
artigo7,human_vs_gemini,exact,25,0,0,0,25,0.0,0.0,0.0
artigo7,human_vs_gemini,fuzzy,25,0,0,0,25,0.0,0.0,0.0
artigo7,human_vs_gemini,semantic,25,0,0,0,25,0.0,0.0,0.0
AGGREGATE,human_vs_gemini,exact,,,,,,0.3562,0.4168,0.3741
AGGREGATE,human_vs_gemini,fuzzy,,,,,,0.6258,0.7081,0.6385
AGGREGATE,human_vs_gemini,semantic,,,,,,0.4923,0.5791,0.5149
